Posición,mate_rate,avg_time_1st,avg_iters_1st
Mate en 1 - Dama esquina,100.0,0.0004739665985107422,0.0
Mate en 1 - Torre séptima,44.0,1.5003435897827149,7466.52
Mate en 1 - Dama lateral,100.0,0.0003490638732910156,0.0
Mate en 1 - Torre banda,100.0,0.00028791427612304685,0.0
Mate en 1 - Dos torres,100.0,0.0004089927673339844,0.0
Mate en 2 - Basic 1,100.0,1.5003917598724366,20176.04
Mate en 2 - R vs K,100.0,1.5003370761871337,9319.88
Mate en 3 - ejemplo,0.0,1.5136929988861083,63.36
Promotion tactic,96.0,1.5001870536804198,14064.04
Complex mid-endgame,20.0,1.5225154113769532,34.24
King and Queen vs King (WTM),100.0,0.00025198936462402345,0.0
King and Rook vs King (WTM),100.0,1.500220718383789,14063.8
Two Rooks vs King,100.0,1.500281867980957,18304.28
King and Pawn endgame 1,0.0,1.500899715423584,490.0
King and Pawn endgame 2 (Opposition),0.0,1.5001196575164795,61397.96
Lucena Position,100.0,1.500488519668579,10978.76
Philidor Position (Rook),0.0,1.5009267902374268,519.64
Bishop and Knight vs King (starting),0.0,1.5002716827392577,19925.44
Rook vs Pawn on 7th (Rook behind),36.0,1.5035771369934081,95.92
Simple Passed Pawn,0.0,0.0,0.0
Simple Passed Pawn 2,0.0,1.5001872444152833,14257.64
Stalemate trap,0.0,0.0,0.0
