Posición,Tasa_Mate_%,Dificultad
Mate en 1 - Dama esquina,100.0,Mate en 1
Mate en 2 - R vs K,100.0,Mate en 2
Lucena Position,100.0,Complejo/Draw
Two Rooks vs King,100.0,Mate en 3
King and Queen vs King (WTM),100.0,Mate en 10
King and Rook vs King (WTM),100.0,Mate en 16
Mate en 2 - Basic 1,100.0,Mate en 2
Mate en 1 - Dos torres,100.0,Mate en 1
Mate en 1 - Torre banda,100.0,Mate en 1
Mate en 1 - Dama lateral,100.0,Mate en 1
Promotion tactic,96.0,Complejo/Draw
Mate en 1 - Torre séptima,44.0,Mate en 1
Rook vs Pawn on 7th (Rook behind),36.0,Complejo/Draw
Complex mid-endgame,20.0,Complejo/Draw
Mate en 3 - ejemplo,0.0,Mate en 3
King and Pawn endgame 1,0.0,Complejo/Draw
King and Pawn endgame 2 (Opposition),0.0,Complejo/Draw
Philidor Position (Rook),0.0,Complejo/Draw
Bishop and Knight vs King (starting),0.0,Mate en 33
Simple Passed Pawn,0.0,Complejo/Draw
Simple Passed Pawn 2,0.0,Complejo/Draw
Stalemate trap,0.0,Complejo/Draw
