Posición,AvgTime,StdTime
King and Queen vs King (WTM),0.00025198936462402345,9.069668378941524e-06
Mate en 1 - Torre banda,0.00028791427612304685,9.501391692693279e-06
Mate en 1 - Dama lateral,0.0003490638732910156,1.3148246617519671e-05
Mate en 1 - Dos torres,0.0004089927673339844,1.5724363052978296e-05
Mate en 1 - Dama esquina,0.0004739665985107422,4.216979604442974e-05
Promotion tactic,1.5001857976118724,3.1435972543137115e-05
King and Rook vs King (WTM),1.500220718383789,3.040174615087599e-05
Two Rooks vs King,1.500281867980957,2.960627196388885e-05
Mate en 2 - R vs K,1.5003370761871337,4.516425765650106e-05
Mate en 1 - Torre séptima,1.5003400499170476,3.8704948915513475e-05
Mate en 2 - Basic 1,1.5003917598724366,3.870893916180549e-05
Lucena Position,1.500488519668579,3.9007844350940004e-05
Rook vs Pawn on 7th (Rook behind),1.5045821931627061,0.0024434929577351787
Complex mid-endgame,1.5163129806518554,0.009449833946007626
