Posición,Tasa_Ganada_%,Iter_prom_1er_mov,Time_prom_s_1er_mov,Q_prom_1er_mov
Mate en 1 - Dama esquina,100.0,0.0,0.0004901409149169922,10000.0
Mate en 1 - Dama lateral,100.0,0.0,0.00034968852996826173,10000.0
Mate en 1 - Torre banda,100.0,0.0,0.00029821395874023436,10000.0
Mate en 1 - Dos torres,100.0,0.0,0.00041968822479248046,10000.0
Mate en 2 - Basic 1,100.0,20349.8,1.500368857383728,1.0481
Mate en 2 - R vs K,90.0,9617.4,1.5003029584884644,0.999
Promotion tactic,90.0,14259.7,1.5001909494400025,1.0
Mate en 1 - Torre séptima,50.0,7525.2,1.5003483772277832,0.0
Complex mid-endgame,30.0,33.6,1.5219932794570923,-0.0004999999999999996
Mate en 3 - ejemplo,10.0,64.2,1.5089787483215331,11.8873
Stalemate trap,0.0,0.0,0.0,0.0
